Query 1
id = 12917   score = 1.284155
id = 16036   score = 1.242162
id = 19299   score = 1.236804
id = 7371   score = 1.227177
id = 15904   score = 1.220697
id = 8564   score = 1.218701
id = 125   score = 1.215089
id = 23734   score = 1.213353
id = 22232   score = 1.210922
id = 7724   score = 1.210629
id = 17995   score = 1.205007
id = 16011   score = 1.201748
id = 16169   score = 1.199862
id = 15733   score = 1.197526
id = 27825   score = 1.195779
id = 19723   score = 1.189940
id = 730   score = 1.189553

Query 13
id = 8715   score = 1.383295
id = 11462   score = 1.348788
id = 20672   score = 1.303258
id = 3427   score = 1.233549
id = 24123   score = 1.229769
id = 28896   score = 1.206006
id = 26844   score = 1.200626
id = 12137   score = 1.190413
id = 13205   score = 1.190080
id = 23637   score = 1.186843
id = 12422   score = 1.184520
id = 5208   score = 1.183454
id = 19512   score = 1.174344
id = 29914   score = 1.174239
id = 14367   score = 1.166917
id = 1195   score = 1.166468
id = 22757   score = 1.165147
id = 21343   score = 1.164368
id = 28959   score = 1.159703
id = 28650   score = 1.156167

Query 14
id = 22982   score = 1.284134
id = 10836   score = 1.242725
id = 16418   score = 1.234288
id = 2909   score = 1.231303
id = 16140   score = 1.228147
id = 15344   score = 1.224321
id = 1902   score = 1.222216
id = 16005   score = 1.218193
id = 14667   score = 1.207375
id = 15492   score = 1.203584
id = 27816   score = 1.201810
id = 15511   score = 1.199991
id = 18767   score = 1.194859
id = 25498   score = 1.193236
id = 8589   score = 1.188401
id = 29153   score = 1.180947
id = 29216   score = 1.176958
id = 6632   score = 1.173512
id = 17839   score = 1.171173
id = 13188   score = 1.171051

Query 15
id = 7100   score = 1.340913
id = 27713   score = 1.289884
id = 52   score = 1.286547
id = 3781   score = 1.278631
id = 13250   score = 1.277093
id = 10455   score = 1.276963
id = 23680   score = 1.276074
id = 1231   score = 1.269347
id = 794   score = 1.268779
id = 25979   score = 1.267929
id = 27079   score = 1.265670
id = 18335   score = 1.260128
id = 9508   score = 1.260048
id = 25329   score = 1.256183
id = 16053   score = 1.241535
id = 15268   score = 1.239623
id = 11358   score = 1.234883
id = 11878   score = 1.234630
id = 18106   score = 1.232658
id = 15206   score = 1.229196

Query 16
id = 19552   score = 1.274049
id = 25369   score = 1.268057
id = 11100   score = 1.252376
id = 10939   score = 1.237439
id = 23475   score = 1.234038
id = 20611   score = 1.232466
id = 12661   score = 1.231140
id = 3405   score = 1.228158
id = 7656   score = 1.227949
id = 19407   score = 1.227126
id = 7272   score = 1.225129
id = 2808   score = 1.221893
id = 22809   score = 1.221184
id = 8029   score = 1.219023
id = 2451   score = 1.217019
id = 25171   score = 1.216835
id = 17267   score = 1.213571
id = 26699   score = 1.212065
id = 26615   score = 1.210095
id = 4099   score = 1.208973

Query 17
id = 1104   score = 1.327487
id = 20703   score = 1.287366
id = 12592   score = 1.280896
id = 13825   score = 1.269753
id = 24275   score = 1.258664
id = 8225   score = 1.255228
id = 18783   score = 1.252359
id = 18728   score = 1.249712
id = 18107   score = 1.240139
id = 4248   score = 1.239855
id = 8282   score = 1.233362
id = 27611   score = 1.231682
id = 7739   score = 1.229227
id = 24228   score = 1.226457
id = 7509   score = 1.225840
id = 845   score = 1.225427
id = 18704   score = 1.225186
id = 12433   score = 1.223293
id = 26904   score = 1.222274
id = 4708   score = 1.221420

Query 18
id = 11195   score = 1.297731
id = 29718   score = 1.242027
id = 14227   score = 1.228472
id = 9657   score = 1.224692
id = 23640   score = 1.223444
id = 9254   score = 1.220715
id = 19341   score = 1.217197
id = 17349   score = 1.213854
id = 23404   score = 1.205962
id = 10141   score = 1.198931
id = 28481   score = 1.198372
id = 28616   score = 1.195622
id = 29889   score = 1.192940
id = 19121   score = 1.192701
id = 23726   score = 1.189620
id = 26954   score = 1.183899
id = 10372   score = 1.182454
